Year	All	4-Year	2-Year	All	4-Year	2-Year	All	4-Year	2-Year	All	4-Year	2-Year	All	4-Year	2-Year	All	4-Year	2-Year	All	4-Year	2-Year	All	4-Year	2-Year
1963-64	1248	1286	775	508	553	171	282	279	209	457	455	395	12126	12497	7535	4939	5369	1664	2743	2707	2032	4444	4421	3839
1968-69	1459	1545	1053	596	683	250	360	360	327	502	502	476	12256	12984	8847	5011	5741	2104	3027	3026	2747	4218	4217	3997
1969-70	1560	1674	1089	645	755	247	389	392	347	526	528	495	12376	13284	8642	5118	5990	1963	3088	3109	2752	4170	4186	3927
1970-71	1653	1784	1120	688	814	249	419	422	369	546	549	501	12468	13461	8452	5190	6139	1882	3160	3183	2787	4118	4139	3783
1971-72	1730	1878	1172	724	865	251	445	448	391	562	564	530	12603	13674	8533	5271	6302	1827	3240	3266	2847	4091	4106	3860
1972-73	1834	2031	1276	759	950	287	488	492	415	587	588	574	12842	14216	8932	5317	6653	2008	3415	3447	2904	4110	4116	4020
1973-74	1903	2097	1358	796	985	328	495	500	430	612	613	600	12232	13480	8731	5114	6328	2111	3184	3213	2762	3934	3939	3858
1974-75	1983	2187	1432	809	1008	328	528	533	460	646	646	644	11475	12652	8283	4683	5833	1896	3055	3082	2663	3736	3737	3725
1975-76	2103	2355	1473	829	1073	297	569	576	474	705	706	702	11366	12725	7962	4480	5799	1606	3074	3113	2561	3811	3813	3795
1976-77	2275	2577	1598	924	1218	346	603	611	503	748	748	750	11617	13158	8159	4718	6221	1764	3081	3119	2567	3818	3818	3827
1977-78	2411	2725	1703	984	1291	378	645	654	525	781	780	801	11535	13038	8151	4710	6179	1810	3087	3128	2511	3737	3731	3830
1978-79	2587	2917	1828	1073	1397	411	688	696	575	826	825	842	11316	12763	7998	4693	6111	1798	3010	3043	2516	3614	3609	3684
1979-80	2809	3167	1979	1163	1513	451	751	759	628	895	895	900	10843	12226	7641	4489	5840	1741	2899	2931	2424	3456	3454	3476
1980-81	3101	3499	2230	1289	1679	526	836	846	705	976	975	1000	10729	12106	7715	4458	5807	1819	2893	2926	2437	3378	3373	3459
1981-82	3489	3951	2476	1457	1907	590	950	961	793	1083	1082	1094	11112	12581	7884	4639	6074	1878	3025	3062	2524	3448	3446	3482
1982-83	3877	4406	2713	1626	2139	675	1064	1078	873	1187	1189	1165	11837	13453	8285	4964	6532	2060	3248	3291	2667	3625	3630	3558
1983-84	4167	4747	2854	1783	2344	730	1145	1162	916	1239	1242	1208	12270	13977	8405	5249	6900	2150	3372	3421	2698	3649	3656	3557
1984-85	4563	5160	3179	1985	2567	821	1267	1282	1058	1310	1311	1301	12928	14622	9009	5625	7275	2327	3590	3633	2997	3713	3714	3685
1985-86	4885	5504	3367	2181	2784	888	1338	1355	1107	1365	1365	1372	13453	15159	9273	6007	7668	2447	3686	3731	3049	3760	3759	3777
1986-87	5206	5964	3295	2312	3042	897	1405	1427	1034	1489	1495	1364	14025	16068	8878	6229	8196	2417	3785	3843	2786	4012	4029	3675
1987-88	5494	6272	3263	2458	3201	809	1488	1516	1017	1549	1555	1437	14214	16227	8441	6359	8281	2093	3849	3923	2631	4007	4024	3717
1988-89	5869	6725	3573	2658	3472	979	1575	1609	1085	1636	1644	1509	14512	16631	8835	6572	8586	2422	3894	3978	2682	4047	4066	3731
1989-90	6207	7212	3705	2839	3800	978	1638	1675	1105	1730	1737	1622	14650	17021	8744	6701	8969	2308	3866	3953	2607	4083	4099	3829
1990-91	6562	7602	3930	3016	4009	1087	1743	1782	1182	1802	1811	1660	14684	17011	8795	6750	8971	2434	3901	3987	2646	4033	4052	3716
1991-92	7077	8238	4092	3286	4385	1189	1874	1921	1210	1918	1931	1692	15346	17862	8873	7124	9509	2579	4063	4166	2625	4158	4188	3670
1992-93	7452	8758	4207	3517	4752	1276	1939	1991	1240	1996	2015	1692	15670	18414	8847	7395	9992	2682	4077	4186	2608	4198	4236	3557
1993-94	7931	9296	4449	3827	5119	1399	2057	2111	1332	2047	2067	1718	16256	19054	9118	7844	10492	2867	4216	4326	2730	4195	4236	3521
1994-95	8306	9728	4633	4044	5391	1488	2145	2200	1396	2116	2138	1750	16549	19383	9232	8059	10741	2964	4275	4382	2781	4216	4259	3486
1995-96	8800	10330	4725	4338	5786	1522	2264	2318	1473	2199	2226	1730	17070	20037	9165	8415	11223	2953	4391	4497	2857	4264	4318	3355
1996-97	9206	10841	4895	4564	6118	1543	2365	2422	1522	2276	2301	1830	17361	20444	9232	8607	11539	2910	4461	4567	2871	4293	4339	3451
1997-98	9588	11277	5192	4755	6351	1695	2444	2507	1598	2389	2419	1900	17764	20895	9620	8810	11767	3140	4528	4645	2961	4426	4483	3520
1998-99	10076	11888	5291	5013	6723	1725	2557	2626	1616	2506	2540	1950	18351	21653	9636	9130	12244	3142	4658	4782	2943	4563	4626	3551
1999-2000	10430	12349	5420	5222	7040	1728	2686	2751	1771	2523	2558	1920	18464	21861	9594	9244	12463	3059	4755	4869	3136	4465	4528	3399
2000-01	10820	12922	5466	5377	7372	1698	2821	2893	1781	2621	2658	1987	18519	22118	9356	9204	12617	2907	4829	4951	3048	4486	4550	3402
